Member_number,Date,itemDescription,_basket_id
1199,01-09-2025,canned beer,4387
1356,03-02-2025,bananas,1828
1966,09-02-2024,ketchup,5067
2050,27-10-2025,whole milk,4224
2010,19-01-2025,ketchup,5358
1393,23-05-2025,salty snack,4785
1137,09-11-2025,napkins,3209
1438,16-11-2025,cat food,289
1789,10-06-2025,sugar,5208
1570,28-03-2024,shopping bags,2394
1319,06-10-2024,domestic eggs,2704
1685,25-07-2025,  DISH DETERGENT,2358
1007,05-12-2024,citrus fruit,3718
2110,28-10-2024,whole milk,5908
1168,22-02-2025,canned beer,4773
1928,08-04-2025,white bread,5725
1695,09-11-2025,frankfurter,2538
2033,07-09-2024,newspapers,4236
2043,16-11-2024,yogurt,1492
1838,24-01-2025,frankfurter,1882
2036,07-04-2025,citrus fruit,1665
2168,13-07-2024,salty snack,2024
1563,06-04-2025,whole milk,5523
1969,31-07-2025,sugar,5018
1277,30-04-2025,butter,517
1645,22-05-2025,onions,5537
1130,25-04-2025,canned beer,3651
2117,22-11-2024,rolls/buns,3447
1430,15-11-2024,domestic eggs,4193
1936,28-03-2025,root vegetables,3736
1249,28-04-2024,margarine,2812
1358,25-03-2024,whole milk,2788
1675,04-10-2024,diapers,5956
2113,09-07-2025,root vegetables,3488
1818,01-07-2025,margarine,2873
2180,01-07-2025,root vegetables,4867
1616,05-11-2025,curd,876
2007,18-03-2024,yogurt,3112
1390,28-09-2025,red wine,4056
1516,22-12-2024,salsa,2506
1345,22-10-2025,cereal,883
1180,20-11-2024,whole milk,4068
2080,20-02-2025,jam,1069
1227,30-03-2024,chips,1743
1783,17-11-2025,frozen vegetables,4524
1434,23-06-2025,chocolate,5642
1164,01-10-2024,tropical fruit,105
1904,01-04-2024,frankfurter,5907
1513,25-09-2024,rolls/buns,2197
1222,23-07-2025,canned beer,3077
1243,30-06-2024,dish detergent,2274
1180,20-01-2024,yogurt,1944
2126,12-05-2024,canned beer,2630
1181,22-09-2024,salsa,3668
1499,20-08-2024,tomato sauce,3853
2168,13-07-2024,frankfurter,2024
1085,30-11-2024,tortillas,135
1845,11-10-2025,cat food,3466
2105,20-03-2025,soda,1121
1933,15-09-2025,frankfurter,5568
1658,19-08-2024,pastry,1322
1517,04-02-2025,sausage,1839
1975,23-12-2025,margarine,3224
2056,16-08-2024,tortillas,1556
1840,27-04-2025,shopping bags,4709
2005,12-12-2025,rolls/buns,718
2017,24-01-2024,whole milk,1931
1071,17-05-2024,newspapers,1175
1748,14-06-2024,white bread,1362
1920,06-10-2025,margarine,370
1440,11-07-2025,canned beer,2203
1983,02-04-2025,frankfurter,1190
1116,04-03-2024,,5657
1892,21-09-2025,soda,435
1834,15-10-2024,sausage,4784
1951,18-03-2024,rolls/buns,1040
1998,19-01-2024,canned beer,1898
1993,01-05-2024,newspapers,789
1902,13-05-2025,canned beer,3961
1787,14-08-2024,canned beer,3982
1817,15-10-2024,canned beer,4559
1506,21-06-2025,curd,4615
1188,18-11-2024,canned beer,2836
2090,23-10-2025,root vegetables,4295
1863,20-01-2024,margarine,4311
2043,06-04-2025,salsa,3257
1856,29-11-2024,pastry,5268
1243,28-03-2025,bananas,5478
1526,15-11-2025,root vegetables,3036
1062,11-09-2024,newspapers,5161
1545,28-07-2025,newspapers,4550
2089,24-10-2025,frozen vegetables,223
1039,01-12-2025,margarine,958
1981,31-08-2025,yogurt,760
1790,04-08-2024,citrus fruit,2639
1891,26-07-2024,yogurt,821
1898,09-10-2025,canned beer,4135
1283,18-02-2025,chocolate,4167
1182,24-10-2024,domestic eggs,998
1452,06-10-2025,domestic eggs,4568
1336,20-03-2025,tomato sauce,5125
1279,08-07-2024,frozen vegetables,3086
1819,12-07-2025,canned beer,5506
1362,06-08-2024,citrus fruit,1717
1117,16-11-2024,cat food,4402
1823,27-09-2025,canned beer,3999
1476,20-01-2024,pastry,992
1606,27-07-2025,newspapers,31
1831,24-10-2025,cereal,4558
1816,18-01-2024,butter,2273
1906,30-01-2025,margarine,90
1292,15-03-2025,newspapers,5751
1897,07-05-2024,canned beer,1902
2015,01-08-2024,shopping bags,3546
2166,22-01-2024,root vegetables,5030
1876,15-11-2024,margarine,2890
1983,02-04-2025,domestic eggs,1190
1355,01-07-2025,margarine,492
1214,16-07-2025,newspapers,4461
2150,11-11-2024,paper towels,4666
2101,23-01-2025,newspapers,5775
2021,26-05-2025,granola,2492
1460,16-05-2025,tomato sauce,1866
1832,16-02-2024,butter,5091
1739,09-06-2025,shopping bags,2977
1862,12-06-2024,canned beer,3877
2182,10-03-2024,ground beef,5371
1686,26-12-2025,granola,1522
2074,29-07-2024,onions,2567
1664,05-06-2024,white bread,5312
1581,05-12-2024,pastry,2029
1396,19-01-2025,canned beer,1110
2144,23-07-2025,pasta,1298
1117,31-10-2025,beef,1834
1889,13-01-2025,canned beer,5231
1774,10-12-2025,whole milk,4165
1884,17-03-2024,salty snack,4121
1634,05-10-2025,dish detergent,1134
1655,26-10-2024,canned beer,3969
2012,06-10-2025,onions,1800
2035,16-08-2024,canned beer,2982
2013,20-07-2024,ground beef,5788
1832,30-09-2024,whole milk,1475
1362,06-08-2024,newspapers,1717
1976,12-11-2024,white bread,1586
1018,20-07-2024,ice cream,764
2017,30-08-2024,canned beer,3532
1718,04-07-2024,brown bread,1002
1750,22-03-2024,canned beer,4564
1827,19-08-2025,white bread,2417
1192,01-08-2025,newspapers,3544
1485,23-01-2025,citrus fruit,305
1505,16-06-2024,newspapers,1256
1081,14-03-2025,cat food,4129
1854,29-07-2024,brown bread,5727
1858,07-03-2025,canned beer,2767
1937,22-05-2024,citrus fruit,4127
2179,21-12-2024,whole milk,3955
1394,30-01-2024,butter,1796
1795,14-03-2024,whole milk,4050
2116,02-12-2025,white bread,886
1959,06-07-2024,  GRANOLA,3545
2017,01-09-2025,citrus fruit,4004
2119,19-08-2024,  CANNED BEER,3186
1631,15-02-2024,canned beer,4447
1655,23-10-2025,bottled water,5098
2155,04-07-2025,newspapers,5235
1308,25-03-2025,root vegetables,1237
1264,23-12-2025,sausage,2893
1446,01-02-2024,whole milk,5810
1276,26-03-2024,tortillas,2708
1128,16-04-2024,tortillas,3900
1839,15-08-2024,rolls/buns,2701
1860,14-04-2024,white bread,2573
1050,06-03-2025,newspapers,5301
2090,29-10-2024,root vegetables,3113
1171,23-05-2024,root vegetables,438
1891,17-12-2024,domestic eggs,806
1175,30-03-2024,cheese,3434
1743,02-09-2025,canned beer,3841
1102,11-04-2024,canned beer,5180
2145,30-08-2025,canned beer,2775
1724,19-09-2024,newspapers,1670
2059,14-09-2025,canned beer,3897
1539,05-04-2024,yogurt,1123
1706,12-02-2025,canned beer,2858
2035,16-08-2024,beef,2982
1241,05-02-2025,yogurt,4392
1446,17-09-2025,shopping bags,2021
1978,01-01-2024,parmesan,2867
1693,27-05-2025,tropical fruit,3040
1888,24-04-2024,bottled water,282
1854,06-12-2025,newspapers,4754
1082,31-03-2025,canned beer,4350
2063,04-02-2024,pastry,4493
1091,25-02-2025,canned beer,4612
2057,18-06-2024,hamburger meat,5758
1354,04-07-2025,white bread,2748
1300,17-04-2024,sausage,3698
1432,02-04-2024,salty snack,3944
2147,02-03-2025,domestic eggs,1442
1943,18-01-2025,root vegetables,5078
1627,29-03-2025,red wine,2633
1504,31-03-2024,bottled water,1379
1189,29-03-2024,cheese,4756
1035,28-04-2024,margarine,4652
1454,29-07-2025,canned beer,2562
1060,19-03-2025,root vegetables,2053
1699,14-07-2024,ground beef,956
1308,11-10-2024,margarine,3397
1941,13-10-2025,root vegetables,526
1582,15-03-2025,sausage,2841
1759,11-02-2024,margarine,2872
1943,18-01-2025,yogurt,5078
1025,29-04-2024,salsa,3921
1988,26-06-2024,napkins,3895
2061,01-10-2024,frankfurter,2390
1865,21-01-2024,citrus fruit,5975
2001,12-10-2025,chocolate,4883
1814,13-07-2024,hamburger meat,563
1909,17-02-2024,frozen vegetables,1858
1538,12-12-2025,whole milk,4876
2107,18-10-2024,chocolate,3975
1959,06-07-2024,canned beer,3545
1220,28-03-2024,canned beer,4439
2075,07-01-2024,whole milk,3456
1833,26-08-2025,chocolate,5392
1115,07-12-2024,root vegetables,3377
1430,22-05-2025,citrus fruit,1734
2195,29-07-2025,whole milk,4771
1279,18-01-2024,root vegetables,3645
1122,02-07-2024,tortillas,4924
1392,27-02-2025,white bread,1218
1573,20-04-2024,soda,711
1086,23-04-2025,whole milk,232
1458,16-04-2024,citrus fruit,3687
1815,31-10-2025,bottled water,1184
1170,25-10-2025,  PASTRY,3618
1024,28-05-2024,canned beer,3247
2083,10-01-2024,white bread,373
1891,04-03-2025,tomato sauce,3217
1902,03-12-2024,sausage,2199
1274,06-11-2025,whole milk,3141
1056,05-02-2025,citrus fruit,1984
1251,09-05-2024,soda,1486
2080,09-05-2024,frozen vegetables,4151
1155,25-05-2024,creamer,1896
1491,04-05-2024,ketchup,5664
2148,15-06-2025,beef,4395
1261,20-08-2025,onions,2931
1473,07-11-2025,frankfurter,3487
1066,18-06-2024,canned beer,1026
1030,04-12-2024,canned beer,5479
1669,19-08-2024,root vegetables,444
1552,08-12-2024,canned beer,288
1871,13-12-2025,,147
2074,29-07-2024,white bread,2567
1221,19-04-2024,yogurt,3965
1432,15-05-2025,brown bread,755
1284,16-05-2025,salty snack,4765
1667,18-04-2025,frozen vegetables,2854
1063,14-10-2025,curd,4413
1318,16-05-2024,root vegetables,1018
1326,04-08-2024,canned beer,1587
1183,11-10-2025,chocolate,1521
1667,02-06-2025,salty snack,3225
1971,26-04-2025,canned beer,302
1660,10-10-2024,cereal,1302
1905,24-07-2024,margarine,713
1324,19-07-2025,bottled water,3500
1441,26-01-2025,white bread,1934
2065,21-10-2024,margarine,2442
1875,13-06-2024,bottled water,4891
1962,03-07-2025,margarine,2600
2000,23-10-2024,granola,5734
2015,12-08-2024,canned beer,3884
2192,19-10-2024,salty snack,4074
1654,09-03-2025,citrus fruit,4510
1444,04-10-2024,sausage,4249
1978,14-09-2025,sausage,1037
1553,26-12-2024,white bread,5014
2073,15-04-2025,citrus fruit,655
1842,12-10-2025,pastry,1367
1311,18-11-2024,canned beer,2344
1488,28-02-2024,white bread,122
1235,03-11-2025,shopping bags,369
1002,19-09-2024,dish detergent,2463
2077,30-12-2025,margarine,5298
1399,15-07-2024,domestic eggs,5266
2033,24-02-2025,red wine,2777
1975,15-11-2025,whole milk,5001
1283,18-02-2025,cereal,4167
2181,07-04-2024,canned beer,184
1161,18-09-2025,canned beer,589
1345,03-03-2025,domestic eggs,3674
1073,05-01-2024,jam,5926
1669,29-10-2025,frozen vegetables,1730
1321,05-03-2025,citrus fruit,1460
1339,30-01-2024,dish detergent,4397
1335,15-04-2024,onions,4895
1396,19-01-2025,soda,1110
1622,29-02-2024,root vegetables,166
1790,28-03-2024,sausage,1671
1290,20-07-2024,frozen vegetables,691
1626,22-01-2025,margarine,1420
1091,19-01-2025,citrus fruit,4886
1200,30-09-2025,ground beef,2016
1667,18-04-2025,curd,2854
1859,24-09-2025,canned beer,1061
1837,17-11-2024,newspapers,2336
2155,24-08-2025,white bread,2373
1699,14-08-2024,canned beer,336
1448,12-04-2025,canned beer,5743
1177,26-07-2025,whole milk,4797
1537,21-06-2024,canned beer,4195
2048,13-06-2025,canned beer,3193
2079,20-04-2024,root vegetables,734
1359,14-11-2025,granola,1978
1216,13-09-2025,canned beer,5761
2088,14-01-2024,napkins,86
1879,20-12-2025,dish detergent,4628
1342,23-12-2024,salsa,583
1526,08-07-2024,sausage,4647
1125,11-12-2024,canned beer,1425
1272,17-04-2025,salty snack,5696
1009,29-03-2024,pastry,3035
2110,07-10-2025,salty snack,4884
1187,31-05-2025,napkins,5482
1829,08-08-2025,rolls/buns,861
2169,25-06-2024,,4319
2052,27-06-2025,yogurt,5249
1282,10-02-2025,curd,3677
1525,21-02-2025,margarine,2230
1160,27-11-2025,margarine,4534
1006,09-07-2024,margarine,4141
1522,25-02-2025,hamburger meat,4426
1790,12-08-2024,cereal,4546
1071,19-09-2025,root vegetables,2112
1307,17-06-2025,margarine,2584
1884,03-05-2025,bottled water,1786
1031,08-11-2024,tropical fruit,4852
1871,03-11-2025,newspapers,4412
1978,06-11-2024,frankfurter,5671
1289,04-08-2024,newspapers,4073
1037,02-02-2025,jam,255
1351,10-08-2024,canned beer,3760
1431,10-03-2025,jam,4832
1907,24-10-2024,  NEWSPAPERS,2496
1150,19-12-2024,salty snack,2741
1712,22-03-2025,chips,3192
1918,06-10-2024,canned beer,275
1319,13-06-2025,margarine,500
1289,24-02-2025,canned beer,1206
2060,21-04-2025,frozen vegetables,1675
1081,14-03-2025,brown bread,4129
1815,07-04-2025,domestic eggs,5271
1569,01-08-2025,white bread,8
1975,15-11-2025,canned beer,5001
1969,20-07-2024,chocolate,1320
1239,17-03-2025,soda,4614
1565,18-10-2024,frankfurter,1532
1179,02-09-2024,bottled water,2845
1352,18-10-2024,curd,2356
1371,02-04-2024,salty snack,441
1153,07-09-2025,white bread,1872
2190,27-12-2024,ground beef,4703
1894,06-10-2025,canned beer,2536
1919,01-10-2025,newspapers,5431
1493,21-10-2024,bottled water,278
1272,17-01-2025,soda,805
1818,15-01-2024,canned beer,5852
1313,27-03-2025,margarine,2504
1483,30-12-2024,butter,2020
2074,16-10-2024,pastry,3419
1984,01-03-2024,white bread,4075
1816,15-06-2025,chocolate,2765
1225,18-05-2025,canned beer,4200
2055,25-11-2025,dish detergent,4137
1389,30-06-2025,dish detergent,738
1470,27-10-2025,red wine,528
1903,13-07-2024,bottled water,715
2179,27-05-2025,canned beer,1025
2073,21-03-2024,  WHITE BREAD,4
1347,10-03-2025,curd,5874
1319,13-06-2025,red wine,500
2012,06-10-2025,sausage,1800
1825,29-12-2024,newspapers,621
1318,30-03-2025,  ICE CREAM,1305
1056,18-04-2024,salsa,2076
1160,18-01-2025,canned beer,4046
1750,24-06-2025,tropical fruit,484
1325,05-05-2024,pastry,5621
1392,25-12-2025,soda,1629
1770,18-10-2024,whole milk,2754
2117,10-04-2024,salty snack,4781
1683,19-05-2024,ketchup,4213
2015,01-04-2025,domestic eggs,5447
1905,24-08-2024,root vegetables,4744
1200,24-07-2025,yogurt,5508
1614,17-10-2024,canned beer,1693
1307,10-10-2024,brown bread,4117
1779,22-09-2025,pasta,285
2073,19-10-2025,paper towels,483
2175,02-08-2024,yogurt,4699
1152,17-06-2024,domestic eggs,5904
1096,24-05-2024,citrus fruit,5774
2126,30-01-2025,coffee,1259
1684,01-10-2024,margarine,5625
2105,20-03-2025,coffee,1121
1507,12-12-2025,canned beer,3588
2152,09-02-2024,citrus fruit,783
1134,23-03-2025,citrus fruit,2055
1149,14-04-2025,dish detergent,471
2130,19-03-2025,margarine,664
1220,29-08-2025,pastry,4757
2177,19-05-2024,paper towels,1680
1110,24-01-2025,chocolate,2108
1915,09-10-2024,whole milk,924
1869,10-05-2024,pastry,3593
2125,06-08-2025,crackers,5099
1749,21-12-2024,coffee,1849
1007,05-12-2024,curd,3718
1104,06-05-2025,canned beer,5843
2069,11-02-2024,cereal,3793
1600,25-03-2025,dish detergent,2498
1558,12-04-2024,napkins,273
2086,07-01-2024,  ROOT VEGETABLES,4887
1988,04-07-2024,butter,309
1356,11-06-2025,cheese,4194
1502,03-03-2025,whole milk,1831
1793,04-03-2024,whole milk,5419
1651,04-12-2024,salsa,3163
1204,01-10-2024,soda,5218
1799,05-08-2025,root vegetables,1187
1128,25-08-2025,canned beer,1595
2119,06-07-2024,rolls/buns,94
1319,22-06-2024,citrus fruit,3831
1014,21-04-2025,,2735
1260,02-10-2025,pastry,2857
1807,28-02-2025,margarine,749
1465,31-01-2024,jam,1388
1641,30-11-2025,margarine,5862
1412,17-12-2025,salty snack,4023
1095,14-08-2024,soda,3602
1862,08-07-2025,domestic eggs,1942
1791,28-10-2024,pastry,5428
1959,05-10-2025,citrus fruit,3910
1479,09-08-2024,domestic eggs,684
2188,01-08-2024,domestic eggs,683
1743,23-04-2024,margarine,5539
2093,29-03-2025,margarine,4648
1198,31-08-2024,rolls/buns,688
1199,18-10-2025,  MARGARINE,2478
1339,18-07-2024,canned beer,3105
1498,18-09-2025,canned beer,4553
1954,05-01-2024,,969
1292,05-05-2024,citrus fruit,3901
2049,27-10-2025,canned beer,4232
1722,02-08-2024,chips,704
1350,11-11-2025,tortillas,3462
1240,18-03-2025,citrus fruit,5463
1230,21-11-2024,salty snack,978
2007,22-11-2025,sugar,3711
1902,14-09-2024,shopping bags,1169
1304,26-05-2025,tropical fruit,1574
1456,15-11-2024,cereal,4253
1936,07-04-2025,canned beer,3614
1880,29-03-2025,margarine,1925
1801,14-12-2025,granola,2928
2147,05-11-2025,bottled water,681
2159,20-02-2025,ice cream,2423
1254,20-03-2025,white bread,1398
1389,26-04-2025,whole milk,3551
1718,09-03-2025,chocolate,999
1468,07-06-2024,tropical fruit,5965
1059,10-12-2024,canned beer,790
2090,23-10-2025,ketchup,4295
1823,20-07-2024,canned beer,2634
1829,07-09-2025,bottled water,3578
1563,06-04-2025,  CANNED BEER,5523
2056,16-10-2024,ice cream,1219
1260,29-04-2025,citrus fruit,3218
2185,30-09-2025,onions,5830
1198,10-11-2025,canned beer,5172
1024,10-09-2024,ground beef,5043
1018,25-10-2024,chips,4082
1791,28-07-2024,margarine,2556
1227,07-11-2024,white bread,1267
1970,19-06-2024,whole milk,4469
2074,19-04-2024,margarine,1608
2171,17-12-2025,paper towels,25
1946,20-03-2024,margarine,5066
1466,13-02-2025,paper towels,17
1529,04-07-2025,root vegetables,245
1946,20-03-2024,curd,5066
2157,16-09-2024,onions,3244
1323,06-01-2024,yogurt,3550
1891,17-12-2024,newspapers,806
1751,29-11-2025,canned beer,1899
1868,03-02-2025,margarine,5045
1957,03-09-2024,whole milk,4802
1527,31-01-2025,domestic eggs,1696
1782,24-02-2025,creamer,3115
1467,30-08-2024,domestic eggs,2847
1468,03-07-2024,napkins,2292
1077,27-10-2024,jam,2517
1381,04-01-2025,white bread,3093
1643,01-07-2024,canned beer,4306
1627,31-03-2025,ground beef,5163
2196,29-08-2025,bananas,2686
2016,13-04-2025,frozen vegetables,3750
1492,18-08-2024,sugar,1751
1346,30-10-2025,curd,666
2144,20-12-2025,root vegetables,5589
1654,15-05-2024,pastry,591
1306,07-10-2025,whole milk,676
2159,26-11-2025,newspapers,5308
1326,04-08-2024,yogurt,1587
1354,01-01-2024,canned beer,1941
1827,22-08-2024,shopping bags,5569
1740,09-11-2024,domestic eggs,2802
1852,05-04-2025,margarine,2332
1545,26-09-2025,canned beer,5808
1097,20-10-2025,pasta,970
1958,31-10-2024,canned beer,5315
2059,20-04-2024,root vegetables,2298
2094,08-04-2025,margarine,5060
1821,23-02-2025,chocolate,3688
1703,30-10-2024,diapers,5644
2194,24-04-2025,rolls/buns,2170
1798,02-12-2024,brown bread,903
1684,05-04-2024,root vegetables,5563
1941,30-10-2025,crackers,1515
1110,24-01-2025,canned beer,2108
2115,21-11-2025,root vegetables,2121
1416,11-06-2024,shopping bags,2083
1943,08-06-2025,margarine,5643
1329,28-01-2024,bottled water,1046
2120,10-09-2025,frozen vegetables,5220
1886,12-10-2025,whole milk,5382
1997,24-01-2024,root vegetables,174
1070,27-09-2024,  WHOLE MILK,5443
1470,01-01-2024,root vegetables,3885
1518,30-11-2025,margarine,5375
1185,25-06-2024,citrus fruit,2997
2158,29-06-2024,parmesan,3385
2107,19-05-2024,margarine,1815
1427,13-05-2025,canned beer,786
1115,21-08-2024,creamer,3670
1780,28-03-2025,canned beer,925
1320,26-11-2024,canned beer,1415
1610,19-05-2025,cat food,2251
1930,26-05-2024,white bread,433
2179,27-05-2025,root vegetables,1025
1101,13-07-2025,napkins,3348
1234,10-10-2024,brown bread,5912
1352,24-03-2024,pastry,2158
1077,20-08-2025,beef,3191
1451,01-11-2024,canned beer,1248
1279,28-03-2025,pip fruit,1376
1354,05-06-2024,frozen vegetables,1814
1833,01-06-2024,onions,4861
2078,26-05-2024,bananas,2450
1239,24-10-2025,parmesan,136
1843,05-06-2024,butter,3250
1498,25-07-2025,margarine,2995
2180,03-08-2025,canned beer,2668
1871,25-02-2024,newspapers,599
1789,10-06-2025,canned beer,5208
1970,19-06-2024,canned beer,4469
1612,14-05-2024,canned beer,2856
1884,11-01-2024,pastry,5547
2079,13-08-2024,pastry,3220
2153,02-03-2024,soda,1566
2057,27-10-2024,dish detergent,4866
1634,16-08-2025,margarine,2078
1274,30-11-2025,paper towels,437
1327,16-08-2024,newspapers,3657
1858,14-05-2025,beef,5281
2033,07-09-2024,domestic eggs,4236
1470,01-01-2024,canned beer,3885
1645,22-05-2025,canned beer,5537
1878,03-09-2024,parmesan,3031
1823,20-07-2024,whole milk,2634
1977,08-05-2024,chocolate,565
1184,11-10-2024,coffee,4001
1500,12-07-2025,pastry,1974
1025,29-04-2024,bananas,3921
1314,12-03-2025,napkins,3898
1336,24-11-2025,margarine,2154
1928,29-08-2024,root vegetables,961
1220,04-03-2024,canned beer,2576
1891,09-08-2024,citrus fruit,3617
2090,14-03-2025,salty snack,3283
1039,06-04-2024,  BUTTER,4377
2182,09-02-2025,margarine,5795
1026,07-04-2025,hamburger meat,654
2019,05-01-2024,ketchup,5882
1784,23-05-2024,canned beer,844
1755,27-10-2025,frozen vegetables,834
1394,30-01-2024,jam,1796
2105,16-11-2024,tropical fruit,3514
2192,07-08-2024,cheese,2551
2145,30-08-2025,pip fruit,2775
1141,22-09-2025,tomato sauce,2206
1696,05-02-2024,yogurt,2799
1426,06-05-2025,white bread,3483
2136,17-02-2025,white bread,4264
1290,26-02-2024,margarine,694
1669,07-05-2025,salty snack,1174
1096,11-11-2025,napkins,2224
1372,25-08-2025,salsa,1036
1526,09-03-2024,salty snack,5020
1631,15-02-2024,domestic eggs,4447
1381,25-08-2025,domestic eggs,3231
1847,08-01-2025,margarine,1424
1049,13-09-2025,newspapers,2280
1959,06-07-2024,curd,3545
1545,26-09-2025,whole milk,5808
2001,17-09-2024,frozen vegetables,5829
2090,23-10-2025,hamburger meat,4295
1205,16-07-2024,chocolate,5032
1395,30-04-2024,frozen vegetables,1234
2046,31-08-2025,domestic eggs,4256
1222,01-01-2025,salsa,2564
1451,27-02-2025,paper towels,149
1589,05-06-2025,beef,5129
1610,19-05-2025,whole milk,2251
1626,22-01-2025,ketchup,1420
1409,07-08-2025,shopping bags,1147
1351,30-06-2024,frankfurter,5897
1064,01-04-2024,tropical fruit,2671
1494,08-08-2025,ground beef,564
1614,15-09-2024,root vegetables,2525
1316,23-01-2024,margarine,4643
1906,06-08-2024,frozen vegetables,5713
2149,10-01-2024,margarine,286
1390,07-06-2025,beef,2655
1706,21-03-2024,canned beer,5158
1043,12-01-2025,curd,3923
1530,07-06-2025,margarine,5149
1323,29-05-2025,frozen vegetables,4882
1140,22-06-2024,citrus fruit,3237
1091,19-01-2025,whole milk,4886
1152,17-06-2024,coffee,5904
1686,26-12-2025,bananas,1522
2010,28-02-2024,canned beer,3933
1920,27-01-2024,pasta,165
1505,12-04-2024,rolls/buns,4549
1002,06-04-2025,napkins,1869
1941,13-10-2025,pip fruit,526
1206,10-09-2025,paper towels,1842
1627,29-03-2025,chocolate,2633
1008,05-02-2024,yogurt,4999
2098,03-05-2025,frankfurter,3319
1254,08-12-2024,newspapers,5745
1210,06-12-2024,pasta,1956
1337,02-04-2025,  CANNED BEER,3635
1678,07-09-2025,root vegetables,1503
1752,05-08-2024,frankfurter,4168
1373,16-03-2024,paper towels,1488
1370,01-06-2025,margarine,1087
1566,11-05-2025,chips,3528
2120,08-03-2025,sausage,442
1139,28-06-2024,newspapers,4022
2178,20-11-2024,pastry,2065
1242,14-11-2025,newspapers,2327
2089,14-08-2025,salsa,1915
1141,07-12-2024,tropical fruit,3460
2002,29-04-2024,sausage,5543
2122,25-03-2024,canned beer,3129
2061,04-07-2024,napkins,1053
1434,23-06-2025,white bread,5642
1289,04-08-2024,domestic eggs,4073
2103,27-11-2024,cheese,5730
1793,12-11-2024,cereal,2650
1220,06-10-2025,whole milk,5190
1646,27-12-2025,canned beer,2621
2185,17-01-2025,ketchup,427
1351,10-11-2024,soda,4574
1243,04-06-2025,crackers,4420
1818,25-09-2024,citrus fruit,5809
2069,08-05-2024,parmesan,3398
1560,10-11-2024,brown bread,5263
2149,28-02-2025,rolls/buns,4436
2122,06-11-2024,newspapers,5184
1036,26-06-2025,diapers,5037
1477,21-03-2024,chocolate,1111
1195,20-05-2024,white bread,2448
1786,13-07-2024,tomato sauce,3653
1085,29-08-2024,coffee,5888
1014,07-11-2025,salty snack,1288
1177,15-01-2024,newspapers,416
1504,06-07-2025,margarine,2164
1764,14-09-2024,root vegetables,689
2131,28-11-2024,domestic eggs,5717
1871,25-10-2024,frozen vegetables,5209
2130,28-11-2025,tropical fruit,3351
1412,08-01-2024,domestic eggs,5362
1630,08-09-2024,white bread,1024
1925,31-01-2025,white bread,2444
1429,06-07-2025,margarine,1947
1304,01-05-2025,margarine,4623
1635,04-06-2024,sausage,5412
1212,25-09-2024,whole milk,4487
1531,13-02-2025,cat food,3490
2104,05-01-2025,canned beer,409
1793,04-03-2024,domestic eggs,5419
1308,03-09-2025,salty snack,4077
1855,11-04-2024,  KETCHUP,3757
2153,09-12-2025,canned beer,1628
2075,11-03-2024,chocolate,4531
1017,23-03-2025,whole milk,814
2080,07-10-2025,tropical fruit,5683
1498,25-07-2025,jam,2995
1115,20-12-2025,beef,5572
1633,14-07-2024,pasta,220
1614,15-09-2024,cat food,2525
1331,25-11-2025,soda,4943
2033,04-07-2025,margarine,2360
1177,22-07-2024,bottled water,3634
1975,11-12-2025,margarine,5911
1487,15-07-2024,dish detergent,2386
1116,20-03-2025,white bread,5424
1160,18-01-2025,domestic eggs,4046
1589,05-06-2025,cat food,5129
2017,18-01-2024,bottled water,4237
2038,28-12-2024,citrus fruit,3988
2091,27-10-2025,,1514
1418,09-10-2024,,4067
1815,27-10-2024,cat food,3630
2044,27-12-2025,frankfurter,1760
1684,01-10-2024,rolls/buns,5625
1649,09-05-2025,sausage,4036
2090,02-09-2025,canned beer,1832
1962,28-11-2025,citrus fruit,5613
1179,06-11-2025,frozen vegetables,4877
1123,22-06-2024,bananas,3301
1297,09-01-2024,root vegetables,3470
1103,11-12-2024,citrus fruit,5842
1691,04-10-2025,citrus fruit,5406
1264,23-12-2025,margarine,2893
1018,30-03-2025,chocolate,1859
1648,25-10-2024,ice cream,1122
1811,23-09-2025,coffee,378
1328,07-05-2025,curd,4136
1175,20-04-2024,whole milk,5772
1806,06-09-2024,canned beer,4241
1740,20-11-2025,curd,3276
2054,10-02-2025,cat food,5320
2185,09-07-2025,hamburger meat,1114
1740,20-11-2025,root vegetables,3276
1637,03-08-2024,onions,1366
1781,28-08-2025,whole milk,3381
1987,22-07-2025,frankfurter,3291
1794,20-06-2025,,5782
1432,15-05-2025,cheese,755
1559,14-09-2025,canned beer,2646
1811,23-09-2025,frozen vegetables,378
1510,15-03-2025,yogurt,1773
1662,26-04-2025,white bread,4479
1102,24-11-2024,margarine,3817
1072,10-09-2024,yogurt,2797
2077,11-06-2024,salsa,5588
1220,20-03-2025,canned beer,4448
2163,05-05-2025,soda,5057
1358,05-10-2025,whole milk,2241
1899,02-01-2024,bottled water,5012
1245,25-04-2025,newspapers,2929
1638,10-02-2025,margarine,1766
1971,25-12-2024,chocolate,372
2061,04-07-2024,yogurt,1053
2075,07-01-2024,onions,3456
1644,10-03-2024,root vegetables,1209
1394,19-06-2025,domestic eggs,2555
1933,23-04-2024,citrus fruit,5496
1899,02-01-2024,pasta,5012
2000,10-12-2024,yogurt,4366
2030,28-02-2024,yogurt,1469
1842,14-02-2024,margarine,4329
1094,23-03-2025,chips,3963
1401,13-12-2024,salty snack,133
1787,14-08-2024,ground beef,3982
